N,E,R,time
25,100,20,53
25,100,20,59
25,100,20,72
25,100,20,59
25,100,20,48
25,100,20,48
25,100,20,35
25,100,20,77
25,100,20,72
25,100,20,59
25,100,20,45
25,100,20,52
25,100,20,50
25,100,20,89
25,100,20,36
25,100,20,62
25,100,20,69
25,100,20,34
25,100,20,72
25,100,20,71
25,100,20,60
25,100,20,75
25,100,20,61
25,100,20,60
25,100,20,36
25,100,20,35
25,100,20,66
25,100,20,33
25,100,20,45
25,100,20,45
25,100,20,82
25,100,20,34
25,100,20,73
25,100,20,21
25,100,20,89
25,100,20,42
25,100,20,61
25,100,20,57
25,100,20,58
25,100,20,51
25,100,20,55
25,100,20,107
25,100,20,110
25,100,20,34
25,100,20,54
25,100,20,45
25,100,20,32
25,100,20,41
25,100,20,58
25,100,20,43
25,100,20,39
25,100,20,58
25,100,20,30
25,100,20,51
25,100,20,46
25,100,20,50
25,100,20,69
25,100,20,61
25,100,20,42
25,100,20,58
25,100,20,72
25,100,20,39
25,100,20,89
25,100,20,48
25,100,20,91
25,100,20,79
25,100,20,35
25,100,20,65
25,100,20,60
25,100,20,37
25,100,20,38
25,100,20,31
25,100,20,66
25,100,20,60
25,100,20,53
25,100,20,31
25,100,20,41
25,100,20,37
25,100,20,84
25,100,20,56
25,100,20,38
25,100,20,68
25,100,20,42
25,100,20,77
25,100,20,37
25,100,20,74
25,100,20,53
25,100,20,45
25,100,20,49
25,100,20,61
25,100,20,62
25,100,20,63
25,100,20,54
25,100,20,39
25,100,20,65
25,100,20,46
25,100,20,49
25,100,20,30
25,100,20,66
25,100,20,39
25,100,20,43
25,100,20,55
25,100,20,41
25,100,20,66
25,100,20,46
25,100,20,86
25,100,20,59
25,100,20,70
25,100,20,32
25,100,20,89
25,100,20,87
25,100,20,92
25,100,20,51
25,100,20,78
25,100,20,38
25,100,20,50
25,100,20,56
25,100,20,76
25,100,20,48
25,100,20,38
25,100,20,62
25,100,20,37
25,100,20,25
25,100,20,63
25,100,20,41
25,100,20,75
25,100,20,43
25,100,20,65
25,100,20,33
25,100,20,55
25,100,20,41
25,100,20,31
25,100,20,68
25,100,20,48
25,100,20,33
25,100,20,49
25,100,20,41
25,100,20,68
25,100,20,53
25,100,20,43
25,100,20,45
25,100,20,57
25,100,20,57
25,100,20,77
25,100,20,33
25,100,20,75
25,100,20,37
25,100,20,46
25,100,20,33
25,100,20,51
25,100,20,51
25,100,20,44
25,100,20,39
25,100,20,136
25,100,20,76
25,100,20,25
25,100,20,38
25,100,20,65
25,100,20,75
25,100,20,67
25,100,20,51
25,100,20,35
25,100,20,37
25,100,20,47
25,100,20,45
25,100,20,83
25,100,20,42
25,100,20,57
25,100,20,57
25,100,20,52
25,100,20,54
25,100,20,41
25,100,20,66
25,100,20,34
25,100,20,49
25,100,20,50
25,100,20,37
25,100,20,127
25,100,20,29
25,100,20,61
25,100,20,37
25,100,20,75
25,100,20,60
25,100,20,31
25,100,20,82
25,100,20,20
25,100,20,49
25,100,20,19
25,100,20,61
25,100,20,25
25,100,20,117
25,100,20,80
25,100,20,61
25,100,20,78
25,100,20,60
25,100,20,66
25,100,20,58
25,100,20,39
25,100,20,64
25,100,20,26
25,100,20,41
25,100,20,100
25,100,20,84
25,100,20,41
25,100,20,50
25,100,20,60
25,100,20,25
25,100,20,103
25,100,20,71
25,100,20,81
25,100,20,50
25,100,20,33
25,100,20,48
25,100,20,30
25,100,20,68
25,100,20,73
25,100,20,73
25,100,20,53
25,100,20,49
25,100,20,91
25,100,20,36
25,100,20,53
25,100,20,44
25,100,20,67
25,100,20,47
25,100,20,35
25,100,20,61
25,100,20,42
25,100,20,52
25,100,20,31
25,100,20,44
25,100,20,54
25,100,20,56
25,100,20,40
25,100,20,50
25,100,20,68
25,100,20,57
25,100,20,54
25,100,20,26
25,100,20,42
25,100,20,66
25,100,20,40
25,100,20,38
25,100,20,62
25,100,20,41
25,100,20,33
25,100,20,88
25,100,20,43
25,100,20,67
25,100,20,98
25,100,20,29
25,100,20,56
25,100,20,69
25,100,20,47
25,100,20,41
25,100,20,32
25,100,20,73
25,100,20,44
25,100,20,43
25,100,20,63
25,100,20,38
25,100,20,21
25,100,20,103
25,100,20,30
25,100,20,78
25,100,20,59
25,100,20,25
25,100,20,35
25,100,20,79
25,100,20,54
25,100,20,98
25,100,20,92
25,100,20,60
25,100,20,31
25,100,20,41
25,100,20,43
25,100,20,67
25,100,20,46
25,100,20,68
25,100,20,47
25,100,20,48
25,100,20,23
25,100,20,68
25,100,20,54
25,100,20,54
25,100,20,34
25,100,20,58
25,100,20,43
25,100,20,50
25,100,20,43
25,100,20,65
25,100,20,56
25,100,20,71
25,100,20,35
25,100,20,54
25,100,20,63
25,100,20,67
25,100,20,49
25,100,20,50
25,100,20,38
25,100,20,43
25,100,20,44
25,100,20,47
25,100,20,37
25,100,20,50
25,100,20,48
25,100,20,72
25,100,20,35
25,100,20,45
25,100,20,63
25,100,20,87
25,100,20,62
25,100,20,60
25,100,20,42
25,100,20,64
25,100,20,42
25,100,20,52
25,100,20,63
25,100,20,59
25,100,20,59
25,100,20,23
25,100,20,67
25,100,20,112
25,100,20,69
25,100,20,38
25,100,20,44
25,100,20,42
25,100,20,44
25,100,20,73
25,100,20,51
25,100,20,38
25,100,20,66
25,100,20,43
25,100,20,42
25,100,20,43
25,100,20,28
25,100,20,48
25,100,20,31
25,100,20,60
25,100,20,48
25,100,20,105
25,100,20,88
25,100,20,95
25,100,20,67
25,100,20,70
25,100,20,61
25,100,20,55
25,100,20,68
25,100,20,37
25,100,20,28
25,100,20,50
25,100,20,45
25,100,20,81
25,100,20,18
25,100,20,40
25,100,20,37
25,100,20,28
25,100,20,17
25,100,20,36
25,100,20,64
25,100,20,32
25,100,20,74
25,100,20,80
25,100,20,52
25,100,20,33
25,100,20,96
25,100,20,77
25,100,20,40
25,100,20,68
25,100,20,58
25,100,20,87
25,100,20,91
25,100,20,27
25,100,20,74
25,100,20,32
25,100,20,42
25,100,20,29
25,100,20,61
25,100,20,81
25,100,20,30
25,100,20,61
25,100,20,97
25,100,20,75
25,100,20,35
25,100,20,103
25,100,20,42
25,100,20,52
25,100,20,49
25,100,20,39
25,100,20,44
25,100,20,42
25,100,20,37
25,100,20,74
25,100,20,108
25,100,20,49
25,100,20,46
25,100,20,55
25,100,20,36
25,100,20,27
25,100,20,41
25,100,20,30
25,100,20,34
25,100,20,42
25,100,20,33
25,100,20,84
25,100,20,60
25,100,20,65
25,100,20,69
25,100,20,43
25,100,20,36
25,100,20,47
25,100,20,30
25,100,20,51
25,100,20,79
25,100,20,76
25,100,20,59
25,100,20,34
25,100,20,50
25,100,20,33
25,100,20,52
25,100,20,49
25,100,20,53
25,100,20,70
25,100,20,73
25,100,20,59
25,100,20,35
25,100,20,22
25,100,20,41
25,100,20,52
25,100,20,71
25,100,20,71
25,100,20,36
25,100,20,54
25,100,20,52
25,100,20,54
25,100,20,27
25,100,20,19
25,100,20,65
25,100,20,85
25,100,20,44
25,100,20,90
